Employee_ID,Month,Department,Experience_Years,Base_Salary_INR,Attendance_Percent,Working_Days,Leave_Days,OT_Hours,Bonus_INR,Deductions_INR,Previous_Payroll_INR,Payroll_Cost_INR,Absenteeism_Risk,Anomaly
1,Jun,HR,12,39329,81,20,4,34,771,1497,25000,47496,High,1
2,Jan,IT,6,19228,82,23,5,26,572,985,47496,24700,High,1
3,Sep,Operations,1,45094,98,20,1,14,5166,2569,24700,51584,Low,0
4,Jan,IT,12,19624,87,20,3,35,7032,545,51584,34654,Medium,0
5,Jul,HR,3,36707,89,24,3,11,844,2382,34654,38288,Medium,0
6,Nov,HR,11,21192,97,25,1,4,4623,244,38288,27038,Low,0
7,Apr,Operations,13,43468,90,23,3,37,7564,1856,27038,58366,Low,1
8,May,HR,5,40904,87,20,3,36,2459,2151,58366,50425,Medium,1
9,Jun,Operations,9,37954,82,20,4,32,3425,675,50425,49454,High,1
10,Jun,HR,15,31818,81,25,5,4,6263,2285,49454,37169,High,1
11,Jun,Finance,11,37476,95,24,2,29,563,383,37169,44658,Low,0
12,Aug,Sales,1,41958,89,25,3,36,5580,1825,44658,54495,Medium,1
13,Dec,Operations,11,18739,94,22,2,10,5004,479,54495,25975,Low,0
14,Jan,HR,9,22238,87,23,3,25,7510,2033,25975,33330,Medium,0
15,Mar,Operations,12,36004,88,21,3,27,7077,2253,33330,47348,Medium,0
16,Dec,Operations,11,40371,92,21,2,9,679,721,47348,42088,Low,0
17,Apr,HR,0,33891,98,21,1,16,2309,16,42088,39682,Low,0
18,Jul,IT,11,37982,98,22,1,8,5656,2111,39682,43991,Low,0
19,Nov,Sales,14,47475,97,23,1,25,3268,1614,43991,54791,Low,0
20,Aug,Operations,1,24245,82,21,4,28,1329,450,54791,32020,High,1
21,Oct,Sales,3,18007,98,21,1,34,831,1489,32020,26305,Low,0
22,Jan,Sales,6,38121,92,21,2,40,2066,1422,26305,49198,Low,1
23,Jun,Operations,3,21779,95,23,2,30,3963,1277,49198,31340,Low,0
24,Mar,Sales,10,42259,88,23,3,10,4229,94,31340,48514,Medium,0
25,Sep,Finance,4,40612,97,20,1,33,2441,2633,48514,48056,Low,0
26,Dec,Finance,11,47761,85,22,4,14,4362,2218,48056,54200,Medium,0
27,Sep,Finance,7,38094,86,26,4,15,6703,1641,54200,47621,Medium,0
28,Apr,HR,15,29651,80,20,4,17,3868,1061,47621,36304,High,1
29,Dec,IT,11,32654,91,22,2,5,1806,418,36304,34956,Low,0
30,Aug,HR,10,24696,95,24,2,39,6884,7,34956,41504,Low,1
31,Nov,Finance,2,45349,83,23,4,12,3916,731,41504,51622,High,0
32,Nov,Finance,2,44241,92,23,2,25,6089,347,51622,56917,Low,0
33,Mar,HR,4,18902,84,24,4,29,6606,2686,56917,29571,High,0
34,Oct,IT,15,39537,91,21,2,35,4491,536,29571,51485,Low,0
35,Jan,Sales,4,32215,86,26,4,13,229,1031,51485,34298,Medium,0
36,May,IT,7,43024,98,22,1,16,4459,1716,34298,49235,Low,0
37,Jan,Finance,14,39707,98,26,1,33,3445,2054,49235,48815,Low,0
38,Sep,HR,0,46600,94,26,2,11,4985,16,48815,55108,Low,0
39,Mar,HR,4,33515,99,25,1,7,4558,252,55108,39438,Low,0
40,Nov,IT,15,43699,83,24,5,3,2035,783,39438,45468,High,0
41,Jan,Sales,14,36406,80,26,6,4,3631,1333,45468,40158,High,1
42,Sep,IT,6,40699,88,23,3,32,4368,1958,40158,51348,Medium,0
43,Apr,IT,8,48237,97,21,1,28,1123,1706,51348,54103,Low,0
44,Jul,Operations,10,20377,87,23,3,4,1742,2742,54103,20197,Medium,0
45,Feb,HR,11,22685,88,21,3,29,1798,385,20197,31363,Medium,0
46,Aug,HR,7,23290,93,24,2,25,2778,1725,31363,30193,Low,0
47,Jun,Finance,2,41663,91,20,2,21,4538,1878,30193,49675,Low,0
48,Dec,Sales,12,28862,96,24,1,18,4196,263,49675,36726,Low,0
49,Apr,Sales,2,26702,88,20,3,11,2215,530,36726,31201,Medium,0
50,Nov,Finance,12,22894,97,24,1,36,4051,2868,31201,32946,Low,1
51,Feb,Finance,1,44200,85,23,4,4,2203,68,32946,47834,Medium,0
52,Feb,Finance,2,37928,87,20,3,16,7067,498,47834,48626,Medium,0
53,Jan,Finance,13,48365,88,24,3,8,353,2158,48626,49213,Medium,0
54,Apr,Sales,5,26581,81,21,4,12,7636,1277,49213,36427,High,1
55,May,IT,6,27501,94,24,2,11,2216,1421,36427,30283,Low,0
56,May,Sales,0,18604,96,24,1,12,4212,1944,30283,23575,Low,0
57,Aug,Sales,13,39512,95,24,2,25,7948,2075,23575,51465,Low,0
58,Dec,HR,7,29229,86,26,4,40,1144,1657,51465,38627,Medium,1
59,Jan,HR,0,20317,100,25,0,16,3528,668,38627,26490,Low,0
60,Feb,Operations,9,37620,87,25,4,18,370,1881,26490,40188,Medium,0
61,Mar,Finance,14,18118,88,22,3,21,7967,2240,40188,28957,Medium,0
62,Apr,Sales,9,25139,91,21,2,0,2747,1563,28957,25694,Low,0
63,Aug,Finance,6,26132,96,26,2,0,744,1082,25694,25177,Low,0
64,Mar,Operations,1,30909,80,22,5,19,5158,953,25177,39237,High,1
65,Oct,IT,4,39546,99,23,1,20,5903,2024,39237,47931,Low,0
66,May,IT,4,19434,96,25,1,27,6011,2871,47931,29559,Low,0
67,Mar,IT,0,45079,98,26,1,14,697,127,29559,48434,Low,0
68,Mar,Finance,3,30341,94,24,2,3,5142,77,48434,36638,Low,0
69,Sep,HR,15,26643,80,23,5,4,6129,2060,36638,32008,High,1
